pairs,p1_wins_cards,p2_wins_cards,ties_cards,p1_wins_tricks,p2_wins_tricks,ties_tricks
"(0, 1)",479,497,24,404,451,145
"(0, 2)",269,718,13,210,682,108
"(0, 3)",180,803,17,106,780,114
"(0, 4)",0,1000,0,1,992,7
"(0, 5)",248,731,21,155,696,149
"(0, 6)",6,992,2,8,963,29
"(0, 7)",483,488,29,323,348,329
"(1, 0)",497,479,24,451,404,145
"(1, 2)",859,127,14,778,115,107
"(1, 3)",953,37,10,876,55,69
"(1, 4)",1,999,0,25,944,31
"(1, 5)",914,71,15,782,111,107
"(1, 6)",477,482,41,426,417,157
"(1, 7)",985,12,3,965,14,21
"(2, 0)",718,269,13,682,210,108
"(2, 1)",127,859,14,115,778,107
"(2, 3)",483,493,24,447,432,121
"(2, 4)",427,548,25,434,441,125
"(2, 5)",471,506,23,383,403,214
"(2, 6)",63,923,14,108,794,98
"(2, 7)",718,255,27,713,168,119
"(3, 0)",803,180,17,780,106,114
"(3, 1)",37,953,10,55,876,69
"(3, 2)",493,483,24,432,447,121
"(3, 4)",479,494,27,441,443,116
"(3, 5)",566,414,20,459,402,139
"(3, 6)",998,2,0,945,24,31
"(3, 7)",1000,0,0,992,0,8
"(4, 0)",1000,0,0,992,1,7
"(4, 1)",999,1,0,944,25,31
"(4, 2)",548,427,25,441,434,125
"(4, 3)",494,479,27,443,441,116
"(4, 5)",488,484,28,440,430,130
"(4, 6)",35,955,10,55,877,68
"(4, 7)",798,186,16,774,124,102
"(5, 0)",731,248,21,696,155,149
"(5, 1)",71,914,15,111,782,107
"(5, 2)",506,471,23,403,383,214
"(5, 3)",414,566,20,402,459,139
"(5, 4)",484,488,28,430,440,130
"(5, 6)",119,865,16,114,795,91
"(5, 7)",708,275,17,658,225,117
"(6, 0)",992,6,2,963,8,29
"(6, 1)",482,477,41,417,426,157
"(6, 2)",923,63,14,794,108,98
"(6, 3)",2,998,0,24,945,31
"(6, 4)",955,35,10,877,55,68
"(6, 5)",865,119,16,795,114,91
"(6, 7)",513,465,22,443,405,152
"(7, 0)",488,483,29,348,323,329
"(7, 1)",12,985,3,14,965,21
"(7, 2)",255,718,27,168,713,119
"(7, 3)",0,1000,0,0,992,8
"(7, 4)",186,798,16,124,774,102
"(7, 5)",275,708,17,225,658,117
"(7, 6)",465,513,22,405,443,152
